ID_ESTADO,NOMBRE ESTADO,DISTRITO LOCAL,CLAVE MUNICIPIO,MUNICIPIO,SECCION,PAN,PRI,PRD,PT,PVEM,MC,MORENA,VOTOS VALIDOS,VOTOS NULOS,TOTAL VOTOS,LISTA NOMINAL
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,276,33,608,75,25,11,41,960,1827,78,1906,1161
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,277,12,246,45,3,5,6,484,848,22,870,1648
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,278,31,526,44,7,11,46,648,1376,47,1425,3098
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,279,21,611,81,16,12,41,971,1852,78,1931,4077
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,285,8,290,52,7,5,19,407,831,44,875,1963
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,286,25,375,49,5,9,22,307,828,13,841,1454
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,287,44,907,93,5,21,53,1043,2257,56,2313,2078
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,288,16,290,21,4,7,15,152,522,5,527,953
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,289,14,321,24,0,2,17,197,602,11,614,1076
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,298,22,554,58,10,9,33,632,1373,49,1425,2836
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,299,14,464,48,6,17,33,772,1402,42,1445,1592
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,300,12,388,54,6,11,42,698,1273,49,1322,2977
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,302,28,582,32,7,15,22,288,1004,9,1014,1970
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,304,13,388,99,7,21,35,704,1331,41,1373,3105
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,383,3,127,60,4,2,14,313,562,17,579,1241
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,14,3,95,6,3,2,17,173,308,7,315,672
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,15,4,103,14,3,2,20,275,441,10,451,853
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,16,2,105,5,1,1,11,242,387,9,397,808
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,17,2,98,21,1,4,10,266,417,16,433,957
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,18,4,166,23,8,5,13,401,649,27,676,1447
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,19,5,224,33,8,4,17,681,1006,50,1056,2537
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,20,2,100,14,3,5,13,338,500,24,524,1084
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,21,4,139,19,1,7,18,370,579,17,598,1286
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,22,3,123,27,1,2,17,411,599,22,621,1254
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,23,5,163,17,4,4,18,471,724,24,748,1594
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,26,8,143,28,4,4,24,431,658,15,673,1202
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,27,4,158,22,4,3,35,529,777,23,801,1774
