ID_ESTADO,NOMBRE_ESTADO,DISTRITO LOCAL,CABECERA_DISTRITAL_LOCAL,MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PPG,IH,CG,PSM,PSG,CAND_IND1,CAND_IND2,CAND_IND4,CAND_IND5,CAND_IND7,CAND_IND8,CAND_IND9,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,MORENA_ES,PAN_PRD,PRD_MC,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1490,2,21,229,162,14,58,19,0,263,10,4,7,2,2,0,0,75,0,0,0,0,0,2,1,8,0,8,5,0,0,890,0,22,912,1402
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1491,2,30,168,197,10,139,23,0,198,20,4,5,3,2,1,0,52,0,0,0,0,0,5,2,0,3,5,2,0,0,869,0,38,907,1407
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1492,3,33,281,274,23,64,40,0,282,8,3,6,2,4,8,0,73,0,0,0,0,0,5,2,0,1,12,2,0,0,1123,0,23,1146,1750
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1493,2,22,185,108,9,41,28,0,106,10,3,14,7,4,5,0,35,0,0,0,0,0,4,2,0,3,6,3,0,0,595,0,29,624,1370
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1494,3,18,313,186,15,62,33,0,275,18,3,3,3,2,4,0,30,0,0,0,0,0,4,2,0,1,4,1,0,0,977,1,36,1014,1692
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1495,5,61,523,491,51,146,56,0,519,37,7,24,21,6,7,0,105,0,0,0,0,0,9,2,0,3,25,17,0,0,2110,0,73,2183,3541
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1496,1,6,84,63,3,9,6,0,74,5,0,4,1,3,0,0,12,0,0,0,0,0,1,0,0,0,1,0,0,0,272,0,14,286,460
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1497,2,10,159,175,12,43,20,0,144,8,2,1,7,4,1,0,37,0,0,0,0,0,4,0,0,2,6,2,0,0,637,0,18,655,826
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1498,2,19,157,125,10,41,20,0,123,6,5,5,4,1,2,0,55,0,0,0,0,0,1,3,0,0,7,2,0,0,586,0,18,604,876
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1499,3,32,227,315,27,65,32,0,279,12,1,12,6,12,10,0,51,0,0,0,0,0,3,3,0,3,6,4,0,0,1100,0,19,1119,1807
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1500,4,52,335,348,29,104,44,0,440,24,4,27,9,6,1,0,74,0,0,0,0,0,10,0,1,2,6,4,0,0,1520,0,29,1549,2537
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1501,2,34,189,135,20,40,22,0,221,14,4,6,2,1,4,0,45,0,0,0,0,0,2,0,0,1,7,3,0,0,750,0,25,775,1342
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1502,2,17,171,178,8,30,13,0,152,10,2,5,3,4,2,0,34,0,0,0,0,0,2,0,0,0,3,2,0,0,636,0,16,652,986
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1503,2,13,195,143,16,36,6,0,135,7,2,1,3,0,0,0,36,0,0,0,0,0,2,0,0,2,9,2,0,0,608,1,7,616,885
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1504,1,20,131,123,7,28,9,0,117,8,0,4,4,0,1,0,40,0,0,0,0,0,0,6,1,1,0,0,0,0,500,0,16,516,741
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1505,5,15,193,114,9,54,10,0,176,20,3,5,0,2,1,0,56,0,0,0,0,0,0,1,0,0,4,5,0,0,668,0,13,681,843
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1506,1,6,135,81,14,26,18,0,97,4,1,1,8,2,0,0,16,0,0,0,0,0,3,0,0,0,7,1,0,0,420,0,8,428,638
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1507,2,16,145,99,17,42,11,0,173,5,2,5,2,2,1,0,13,0,0,0,0,0,0,1,0,0,6,5,0,0,545,1,12,558,872
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1508,2,12,142,115,10,49,21,0,156,5,3,21,0,0,0,0,24,0,0,0,0,0,1,2,0,1,3,2,0,0,567,0,25,592,965
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1509,2,12,143,148,5,50,17,0,203,8,3,46,5,3,3,0,7,0,0,0,0,0,1,2,1,0,2,2,0,0,661,0,9,670,1093
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1510,3,18,207,169,20,64,28,0,285,18,2,15,2,3,0,0,25,0,0,0,0,0,1,1,0,0,7,7,0,0,872,0,39,911,1682
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1511,2,18,195,212,15,31,18,0,185,7,3,3,6,0,1,0,49,0,0,0,0,0,4,3,0,0,9,0,0,0,759,1,7,767,1172
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1512,2,29,204,169,27,59,17,0,166,16,1,19,4,1,2,0,39,0,0,0,0,0,0,4,0,3,8,2,0,0,770,0,13,783,1154
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1513,2,34,218,156,19,59,11,0,217,3,2,9,11,2,1,0,80,0,0,0,0,0,6,1,0,0,13,6,0,0,848,0,7,855,1289
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1514,2,27,121,129,7,26,9,0,159,7,1,3,2,2,0,0,47,0,0,0,0,0,2,1,0,1,1,1,0,0,546,0,7,553,846
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1515,2,27,235,154,11,25,14,0,157,12,3,5,6,4,1,0,82,0,0,0,0,0,7,2,0,1,10,4,0,0,760,0,21,781,1152
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1516,5,68,505,425,29,121,51,0,553,32,7,38,4,5,1,0,133,0,0,0,0,0,7,4,1,1,14,10,0,0,2009,0,44,2053,3189
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1517,2,27,286,213,17,44,22,0,208,8,3,2,12,3,3,0,68,0,0,0,0,0,2,2,0,0,7,3,0,0,930,0,28,958,1392
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1518,2,10,226,93,16,45,13,0,107,9,2,3,20,1,1,0,37,0,0,0,0,0,2,0,0,1,12,4,0,0,602,0,33,635,1230
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1519,1,8,139,52,19,21,8,0,71,5,3,0,1,0,3,0,21,0,0,0,0,0,0,1,0,0,17,1,0,0,370,0,18,388,698
